Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
17/04/17,walking,walking,2017-04-17T00:08:13+02:00,2017-04-17T00:23:21+02:00,908,0.934,1675,59
17/04/17,walking,walking,2017-04-17T12:52:55+02:00,2017-04-17T12:53:06+02:00,11,0.008,17,1
17/04/17,walking,walking,2017-04-17T14:54:28+02:00,2017-04-17T14:55:12+02:00,44,0.044,89,3
17/04/17,walking,walking,2017-04-17T15:23:29+02:00,2017-04-17T15:32:17+02:00,528,0.656,910,41
17/04/17,walking,walking,2017-04-17T16:00:55+02:00,2017-04-17T16:01:14+02:00,19,0.014,29,1
17/04/17,walking,walking,2017-04-17T16:05:16+02:00,2017-04-17T16:08:37+02:00,201,0.395,392,25
17/04/17,walking,walking,2017-04-17T19:35:09+02:00,2017-04-17T19:46:55+02:00,706,1.131,1286,71
17/04/17,walking,walking,2017-04-17T20:09:15+02:00,2017-04-17T20:09:18+02:00,3,0.002,5,0
17/04/17,walking,walking,2017-04-17T20:10:20+02:00,2017-04-17T20:16:10+02:00,350,0.752,706,47
17/04/17,walking,walking,2017-04-17T20:18:52+02:00,2017-04-17T20:32:50+02:00,838,1.094,1376,69
17/04/17,walking,walking,2017-04-17T21:55:42+02:00,2017-04-17T22:04:32+02:00,530,0.766,796,48
