Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
31/05/17,walking,walking,2017-05-31T16:44:19+02:00,2017-05-31T16:46:16+02:00,117,0.076,153,5
31/05/17,transport,transport,2017-05-31T16:51:31+02:00,2017-05-31T16:59:12+02:00,461,1.668,0,0
31/05/17,walking,walking,2017-05-31T19:04:16+02:00,2017-05-31T19:05:44+02:00,88,0.066,133,4
31/05/17,transport,transport,2017-05-31T19:40:12+02:00,2017-05-31T19:54:08+02:00,836,2.547,0,0
31/05/17,walking,walking,2017-05-31T19:54:08+02:00,2017-05-31T20:12:50+02:00,1122,0.801,926,50
31/05/17,walking,walking,2017-05-31T20:14:46+02:00,2017-05-31T20:18:41+02:00,235,0.264,353,17
31/05/17,walking,walking,2017-05-31T20:24:23+02:00,2017-05-31T20:47:15+02:00,1372,1.560,2507,98
31/05/17,transport,transport,2017-05-31T20:47:15+02:00,2017-05-31T21:09:54+02:00,1359,3.261,0,0
31/05/17,walking,walking,2017-05-31T21:09:54+02:00,2017-05-31T21:11:33+02:00,99,0.049,93,3
31/05/17,walking,walking,2017-05-31T21:13:33+02:00,2017-05-31T21:13:53+02:00,20,0.015,30,1
01/06/17,walking,walking,2017-06-01T09:20:29+02:00,2017-06-01T09:21:02+02:00,33,0.018,36,1
01/06/17,walking,walking,2017-06-01T09:24:39+02:00,2017-06-01T09:28:24+02:00,225,0.253,338,16
01/06/17,walking,walking,2017-06-01T09:36:10+02:00,2017-06-01T09:37:14+02:00,64,0.048,96,3
01/06/17,walking,walking,2017-06-01T14:31:16+02:00,2017-06-01T14:31:55+02:00,39,0.019,35,1
01/06/17,walking,walking,2017-06-01T14:39:24+02:00,2017-06-01T14:40:04+02:00,40,0.030,60,2
01/06/17,walking,walking,2017-06-01T14:40:45+02:00,2017-06-01T14:44:43+02:00,238,0.368,306,23
01/06/17,walking,walking,2017-06-01T14:48:13+02:00,2017-06-01T14:48:53+02:00,40,0.030,60,2
01/06/17,transport,transport,2017-06-01T14:53:09+02:00,2017-06-01T15:14:40+02:00,1291,7.486,0,0
01/06/17,walking,walking,2017-06-01T15:23:12+02:00,2017-06-01T15:24:29+02:00,77,0.057,115,4
01/06/17,walking,walking,2017-06-01T15:32:31+02:00,2017-06-01T15:41:36+02:00,545,0.461,798,29
01/06/17,walking,walking,2017-06-01T15:43:04+02:00,2017-06-01T15:43:57+02:00,53,0.040,80,3
01/06/17,walking,walking,2017-06-01T16:16:41+02:00,2017-06-01T16:19:35+02:00,174,0.094,188,6
01/06/17,walking,walking,2017-06-01T16:19:36+02:00,2017-06-01T16:20:24+02:00,48,0.036,72,2
01/06/17,transport,transport,2017-06-01T16:24:30+02:00,2017-06-01T16:52:37+02:00,1687,8.374,0,0
01/06/17,walking,walking,2017-06-01T16:52:37+02:00,2017-06-01T16:54:35+02:00,118,0.108,216,7
01/06/17,walking,walking,2017-06-01T16:57:59+02:00,2017-06-01T16:58:18+02:00,19,0.015,30,1
01/06/17,walking,walking,2017-06-01T17:16:44+02:00,2017-06-01T17:31:48+02:00,904,1.207,1711,76
01/06/17,walking,walking,2017-06-01T17:31:49+02:00,2017-06-01T17:38:34+02:00,405,0.456,608,29
01/06/17,walking,walking,2017-06-01T17:56:55+02:00,2017-06-01T18:11:39+02:00,884,1.142,1237,72
01/06/17,walking,walking,2017-06-01T19:43:50+02:00,2017-06-01T19:44:09+02:00,19,0.015,30,1
01/06/17,walking,walking,2017-06-01T19:46:30+02:00,2017-06-01T20:13:21+02:00,1611,1.479,2778,93
01/06/17,walking,walking,2017-06-01T20:14:31+02:00,2017-06-01T20:15:27+02:00,56,0.042,84,3
01/06/17,walking,walking,2017-06-01T20:18:26+02:00,2017-06-01T20:27:41+02:00,555,0.447,796,28
01/06/17,walking,walking,2017-06-01T21:15:15+02:00,2017-06-01T21:16:01+02:00,46,0.035,70,2
01/06/17,walking,walking,2017-06-01T21:17:53+02:00,2017-06-01T21:53:17+02:00,2124,2.207,3202,139
01/06/17,walking,walking,2017-06-01T22:02:50+02:00,2017-06-01T22:03:09+02:00,19,0.015,30,1
01/06/17,walking,walking,2017-06-01T22:51:41+02:00,2017-06-01T23:43:05+02:00,3084,3.301,5192,208
01/06/17,walking,walking,2017-06-01T23:47:47+02:00,2017-06-01T23:48:07+02:00,20,0.015,30,1
02/06/17,walking,walking,2017-06-02T10:16:02+02:00,2017-06-02T10:19:56+02:00,234,0.253,337,16
02/06/17,walking,walking,2017-06-02T10:29:58+02:00,2017-06-02T10:47:42+02:00,1064,1.350,1769,85
02/06/17,walking,walking,2017-06-02T10:52:35+02:00,2017-06-02T11:05:02+02:00,747,0.724,1136,46
02/06/17,walking,walking,2017-06-02T11:07:03+02:00,2017-06-02T11:16:12+02:00,549,0.385,771,24
02/06/17,walking,walking,2017-06-02T11:26:16+02:00,2017-06-02T11:32:46+02:00,390,0.465,721,29
02/06/17,walking,walking,2017-06-02T11:33:34+02:00,2017-06-02T11:38:32+02:00,298,0.336,448,21
02/06/17,walking,walking,2017-06-02T11:43:49+02:00,2017-06-02T12:33:28+02:00,2979,2.872,4336,181
02/06/17,walking,walking,2017-06-02T12:38:27+02:00,2017-06-02T12:39:44+02:00,77,0.058,116,4
02/06/17,walking,walking,2017-06-02T12:45:12+02:00,2017-06-02T12:49:59+02:00,287,0.554,0,35
02/06/17,walking,walking,2017-06-02T12:50:31+02:00,2017-06-02T12:51:44+02:00,73,0.055,110,3
02/06/17,walking,walking,2017-06-02T13:03:20+02:00,2017-06-02T13:04:49+02:00,89,0.075,150,5
02/06/17,walking,walking,2017-06-02T13:05:05+02:00,2017-06-02T13:29:12+02:00,1447,1.314,2103,83
02/06/17,walking,walking,2017-06-02T13:33:47+02:00,2017-06-02T13:34:24+02:00,37,0.028,56,2
02/06/17,walking,walking,2017-06-02T13:35:05+02:00,2017-06-02T13:36:46+02:00,101,0.076,152,5
02/06/17,walking,walking,2017-06-02T13:42:48+02:00,2017-06-02T14:18:52+02:00,2164,2.075,3291,131
02/06/17,walking,walking,2017-06-02T17:45:02+02:00,2017-06-02T17:45:21+02:00,19,0.015,30,1
02/06/17,walking,walking,2017-06-02T17:46:42+02:00,2017-06-02T18:12:56+02:00,1574,1.802,2203,113
02/06/17,walking,walking,2017-06-02T18:16:16+02:00,2017-06-02T18:16:56+02:00,40,0.030,60,2
02/06/17,walking,walking,2017-06-02T18:17:39+02:00,2017-06-02T18:24:09+02:00,390,0.547,701,34
02/06/17,walking,walking,2017-06-02T18:26:30+02:00,2017-06-02T18:27:03+02:00,33,0.025,50,2
02/06/17,transport,transport,2017-06-02T18:29:04+02:00,2017-06-02T18:45:03+02:00,959,4.066,0,0
02/06/17,walking,walking,2017-06-02T18:45:04+02:00,2017-06-02T18:47:10+02:00,126,0.142,190,9
02/06/17,walking,walking,2017-06-02T19:12:43+02:00,2017-06-02T19:13:39+02:00,56,0.045,90,3
02/06/17,walking,walking,2017-06-02T20:37:13+02:00,2017-06-02T21:47:36+02:00,4223,4.363,5912,275
02/06/17,walking,walking,2017-06-02T21:47:36+02:00,2017-06-02T21:49:29+02:00,113,0.085,170,5
02/06/17,walking,walking,2017-06-02T21:52:32+02:00,2017-06-02T22:04:36+02:00,724,0.771,1251,49
02/06/17,walking,walking,2017-06-02T22:04:37+02:00,2017-06-02T22:04:44+02:00,7,0.005,11,0
03/06/17,walking,walking,2017-06-03T10:37:20+02:00,2017-06-03T10:39:43+02:00,143,0.142,190,9
03/06/17,walking,walking,2017-06-03T10:57:07+02:00,2017-06-03T11:11:45+02:00,878,1.254,1512,79
03/06/17,walking,walking,2017-06-03T11:12:39+02:00,2017-06-03T11:15:38+02:00,179,0.202,269,13
03/06/17,transport,transport,2017-06-03T11:30:35+02:00,2017-06-03T12:03:28+02:00,1973,2.606,0,0
03/06/17,transport,transport,2017-06-03T12:22:19+02:00,2017-06-03T12:39:03+02:00,1004,2.298,0,0
03/06/17,walking,walking,2017-06-03T12:45:14+02:00,2017-06-03T13:01:06+02:00,952,0.773,1319,49
03/06/17,walking,walking,2017-06-03T13:07:18+02:00,2017-06-03T13:14:11+02:00,413,0.261,522,16
03/06/17,walking,walking,2017-06-03T13:16:42+02:00,2017-06-03T13:17:01+02:00,19,0.015,30,1
03/06/17,walking,walking,2017-06-03T13:17:41+02:00,2017-06-03T13:21:38+02:00,237,0.176,337,11
03/06/17,walking,walking,2017-06-03T13:25:02+02:00,2017-06-03T13:28:30+02:00,208,0.234,312,15
03/06/17,walking,walking,2017-06-03T14:00:17+02:00,2017-06-03T14:08:52+02:00,515,0.309,519,19
03/06/17,walking,walking,2017-06-03T14:10:10+02:00,2017-06-03T14:12:05+02:00,115,0.086,173,5
03/06/17,walking,walking,2017-06-03T15:29:07+02:00,2017-06-03T16:00:14+02:00,1867,1.955,2981,123
03/06/17,walking,walking,2017-06-03T16:00:15+02:00,2017-06-03T16:02:36+02:00,141,0.159,212,10
03/06/17,walking,walking,2017-06-03T17:10:56+02:00,2017-06-03T17:26:56+02:00,960,0.854,1658,54
03/06/17,walking,walking,2017-06-03T18:33:57+02:00,2017-06-03T18:47:11+02:00,794,0.942,1037,59
03/06/17,walking,walking,2017-06-03T18:47:12+02:00,2017-06-03T18:49:00+02:00,108,0.054,70,3
03/06/17,walking,walking,2017-06-03T18:58:14+02:00,2017-06-03T18:58:27+02:00,13,0.010,20,1
03/06/17,walking,walking,2017-06-03T19:02:01+02:00,2017-06-03T19:02:30+02:00,29,0.025,50,2
03/06/17,walking,walking,2017-06-03T19:03:54+02:00,2017-06-03T19:13:31+02:00,577,0.570,1020,36
03/06/17,walking,walking,2017-06-03T19:47:32+02:00,2017-06-03T19:47:51+02:00,19,0.015,30,1
03/06/17,walking,walking,2017-06-03T19:48:35+02:00,2017-06-03T20:05:59+02:00,1044,1.098,1718,69
03/06/17,walking,walking,2017-06-03T20:06:17+02:00,2017-06-03T20:07:46+02:00,89,0.067,134,4
03/06/17,walking,walking,2017-06-03T22:36:19+02:00,2017-06-03T22:36:48+02:00,29,0.015,30,1
03/06/17,walking,walking,2017-06-03T23:03:34+02:00,2017-06-03T23:04:23+02:00,49,0.026,53,2
03/06/17,walking,walking,2017-06-03T23:26:24+02:00,2017-06-03T23:59:35+02:00,1991,2.011,3094,127
03/06/17,walking,walking,2017-06-03T23:59:39+02:00,2017-06-03T23:59:50+02:00,11,0.008,17,1
04/06/17,walking,walking,2017-06-04T00:00:00+02:00,2017-06-04T00:00:39+02:00,39,0.019,33,1
04/06/17,walking,walking,2017-06-04T09:29:02+02:00,2017-06-04T10:00:55+02:00,1913,1.957,3171,123
04/06/17,walking,walking,2017-06-04T10:00:55+02:00,2017-06-04T10:07:24+02:00,389,0.437,583,28
04/06/17,walking,walking,2017-06-04T10:10:07+02:00,2017-06-04T10:20:16+02:00,609,0.742,990,47
04/06/17,walking,walking,2017-06-04T10:20:17+02:00,2017-06-04T10:30:28+02:00,611,0.778,738,49
04/06/17,walking,walking,2017-06-04T11:32:16+02:00,2017-06-04T11:47:09+02:00,893,0.982,1412,62
04/06/17,walking,walking,2017-06-04T12:01:18+02:00,2017-06-04T12:05:54+02:00,276,0.310,414,20
04/06/17,walking,walking,2017-06-04T12:50:33+02:00,2017-06-04T12:54:09+02:00,216,0.113,123,7
04/06/17,walking,walking,2017-06-04T12:54:10+02:00,2017-06-04T12:55:08+02:00,58,0.043,87,3
04/06/17,walking,walking,2017-06-04T12:58:39+02:00,2017-06-04T13:13:41+02:00,902,0.639,1112,40
04/06/17,walking,walking,2017-06-04T13:18:59+02:00,2017-06-04T13:21:53+02:00,174,0.196,261,12
04/06/17,walking,walking,2017-06-04T13:29:03+02:00,2017-06-04T13:34:51+02:00,348,0.174,246,11
04/06/17,walking,walking,2017-06-04T13:34:51+02:00,2017-06-04T13:35:58+02:00,67,0.050,101,3
04/06/17,walking,walking,2017-06-04T13:51:16+02:00,2017-06-04T13:54:17+02:00,181,0.204,272,13
04/06/17,walking,walking,2017-06-04T14:00:14+02:00,2017-06-04T14:01:50+02:00,96,0.064,129,4
04/06/17,transport,transport,2017-06-04T14:14:42+02:00,2017-06-04T14:50:30+02:00,2148,4.309,0,0
04/06/17,walking,walking,2017-06-04T17:28:05+02:00,2017-06-04T17:30:54+02:00,169,0.190,254,12
04/06/17,walking,walking,2017-06-04T17:34:19+02:00,2017-06-04T17:35:36+02:00,77,0.078,156,5
04/06/17,transport,transport,2017-06-04T17:35:36+02:00,2017-06-04T17:53:32+02:00,1076,4.703,0,0
04/06/17,walking,walking,2017-06-04T17:54:02+02:00,2017-06-04T17:54:21+02:00,19,0.015,30,1
04/06/17,walking,walking,2017-06-04T19:22:53+02:00,2017-06-04T19:49:07+02:00,1574,1.724,2213,109
04/06/17,walking,walking,2017-06-04T19:49:08+02:00,2017-06-04T19:49:12+02:00,4,0.003,7,0
04/06/17,walking,walking,2017-06-04T19:51:08+02:00,2017-06-04T20:17:03+02:00,1555,1.386,2202,87
04/06/17,walking,walking,2017-06-04T20:22:33+02:00,2017-06-04T20:38:16+02:00,943,1.094,1320,69
04/06/17,walking,walking,2017-06-04T20:41:02+02:00,2017-06-04T20:45:21+02:00,259,0.291,389,18
04/06/17,walking,walking,2017-06-04T20:49:08+02:00,2017-06-04T20:50:57+02:00,109,0.082,164,5
04/06/17,walking,walking,2017-06-04T21:08:34+02:00,2017-06-04T21:10:16+02:00,102,0.081,163,5
04/06/17,walking,walking,2017-06-04T21:20:31+02:00,2017-06-04T21:43:08+02:00,1357,1.357,2377,85
04/06/17,walking,walking,2017-06-04T21:43:09+02:00,2017-06-04T21:43:14+02:00,5,0.004,9,0
