Date,Type,Name,Start,End,Duration
03/04/17,place,"Place in Christianshavn, København",2017-04-03T00:00:00+02:00,2017-04-03T08:19:32+02:00,29972
03/04/17,move,cycling,2017-04-03T08:19:32+02:00,2017-04-03T08:27:51+02:00,499
03/04/17,place,"Place in Østerport, København",2017-04-03T08:27:51+02:00,2017-04-03T11:58:06+02:00,12615
03/04/17,move,walking,2017-04-03T11:58:06+02:00,2017-04-03T12:07:38+02:00,572
03/04/17,place,"Place in Indre By, København",2017-04-03T12:07:39+02:00,2017-04-03T12:22:24+02:00,885
03/04/17,place,"Place in Indre By, København",2017-04-03T12:22:56+02:00,2017-04-03T12:25:25+02:00,149
03/04/17,move,walking,2017-04-03T12:25:25+02:00,2017-04-03T12:39:14+02:00,829
03/04/17,place,"Place in Østerport, København",2017-04-03T12:39:15+02:00,2017-04-03T17:10:01+02:00,16246
03/04/17,move,cycling,2017-04-03T17:10:01+02:00,2017-04-03T17:25:35+02:00,934
03/04/17,place,"Place in Christianshavn, København",2017-04-03T17:25:36+02:00,2017-04-03T17:44:58+02:00,1162
03/04/17,move,running,2017-04-03T17:44:58+02:00,2017-04-03T18:30:33+02:00,2735
03/04/17,place,"Place in Christianshavn, København",2017-04-03T18:30:34+02:00,2017-04-03T18:41:43+02:00,669
03/04/17,place,"Place in Christianshavn, København",2017-04-03T18:41:44+02:00,2017-04-03T19:26:43+02:00,2699
03/04/17,move,walking,2017-04-03T19:26:43+02:00,2017-04-03T19:31:54+02:00,311
03/04/17,place,"Place in Christianshavn, København",2017-04-03T19:31:55+02:00,2017-04-03T19:42:17+02:00,622
03/04/17,place,"Place in Christianshavn, København",2017-04-03T19:42:18+02:00,2017-04-04T00:00:00+02:00,15462
04/04/17,place,"Place in Christianshavn, København",2017-04-04T00:00:00+02:00,2017-04-04T10:06:04+02:00,36364
04/04/17,move,cycling,2017-04-04T10:06:04+02:00,2017-04-04T10:13:06+02:00,422
04/04/17,place,Den Sorte Diamant - Det Kgl. Bibliotek,2017-04-04T10:13:07+02:00,2017-04-04T10:25:13+02:00,726
04/04/17,place,"Place in Indre By, København",2017-04-04T10:25:14+02:00,2017-04-04T13:50:21+02:00,12307
04/04/17,place,"Place in Indre By, København",2017-04-04T13:50:22+02:00,2017-04-04T14:13:31+02:00,1389
04/04/17,move,cycling,2017-04-04T14:13:31+02:00,2017-04-04T14:31:43+02:00,1092
04/04/17,place,"Place in Nørrebro, København",2017-04-04T14:31:44+02:00,2017-04-04T15:03:11+02:00,1887
04/04/17,move,cycling,2017-04-04T15:03:11+02:00,2017-04-04T15:08:52+02:00,341
04/04/17,place,"Place in Nørrebro, København",2017-04-04T15:08:53+02:00,2017-04-04T15:20:37+02:00,704
04/04/17,move,cycling,2017-04-04T15:20:37+02:00,2017-04-04T15:38:08+02:00,1051
04/04/17,place,Københavns Hovedbibliotek,2017-04-04T15:38:09+02:00,2017-04-04T21:01:53+02:00,19424
04/04/17,place,Studenterhuset,2017-04-04T21:01:54+02:00,2017-04-04T21:17:42+02:00,948
04/04/17,move,cycling,2017-04-04T21:17:42+02:00,2017-04-04T21:24:15+02:00,393
04/04/17,place,"Place in Christianshavn, København",2017-04-04T21:24:16+02:00,2017-04-05T00:00:00+02:00,9344
05/04/17,place,"Place in Christianshavn, København",2017-04-05T00:00:00+02:00,2017-04-05T09:33:01+02:00,34381
05/04/17,move,cycling,2017-04-05T09:33:01+02:00,2017-04-05T09:36:59+02:00,238
05/04/17,move,transport,2017-04-05T09:36:59+02:00,2017-04-05T10:11:18+02:00,2059
05/04/17,move,walking,2017-04-05T10:11:18+02:00,2017-04-05T10:16:30+02:00,312
05/04/17,place,Place in Kongens Lyngby,2017-04-05T10:16:31+02:00,2017-04-05T10:52:28+02:00,2157
05/04/17,move,walking,2017-04-05T10:52:28+02:00,2017-04-05T11:02:02+02:00,574
05/04/17,place,Place in Kongens Lyngby,2017-04-05T11:02:02+02:00,2017-04-05T14:03:09+02:00,10867
05/04/17,move,walking,2017-04-05T14:03:09+02:00,2017-04-05T14:11:48+02:00,519
05/04/17,place,Place in Kongens Lyngby,2017-04-05T14:11:49+02:00,2017-04-05T15:29:48+02:00,4679
05/04/17,place,Place in Kongens Lyngby,2017-04-05T15:29:48+02:00,2017-04-05T16:26:28+02:00,3400
05/04/17,move,walking,2017-04-05T16:26:28+02:00,2017-04-05T16:31:01+02:00,273
05/04/17,move,transport,2017-04-05T16:31:01+02:00,2017-04-05T17:07:49+02:00,2208
05/04/17,place,"Place in Christianshavn, København",2017-04-05T17:07:50+02:00,2017-04-06T00:00:00+02:00,24730
06/04/17,place,"Place in Christianshavn, København",2017-04-06T00:00:00+02:00,2017-04-06T08:14:07+02:00,29647
06/04/17,move,cycling,2017-04-06T08:14:07+02:00,2017-04-06T08:20:56+02:00,409
06/04/17,place,"Place in Østerport, København",2017-04-06T08:21:54+02:00,2017-04-06T12:17:29+02:00,14135
06/04/17,move,walking,2017-04-06T12:17:29+02:00,2017-04-06T12:27:14+02:00,585
06/04/17,place,"Place in Indre By, København",2017-04-06T12:27:15+02:00,2017-04-06T13:01:19+02:00,2044
