Date,Type,Name,Start,End,Duration
29/06/17,move,walking,2017-06-29T09:59:55+02:00,2017-06-29T10:13:00+02:00,785
29/06/17,move,cycling,2017-06-29T10:13:00+02:00,2017-06-29T10:18:10+02:00,310
29/06/17,place,"Place in Indre By, København",2017-06-29T10:18:11+02:00,2017-06-29T15:07:45+02:00,17374
29/06/17,move,transport,2017-06-29T15:07:45+02:00,2017-06-29T15:13:50+02:00,365
29/06/17,place,"Place in Christianshavn, København",2017-06-29T15:13:51+02:00,2017-06-30T00:00:00+02:00,31569
30/06/17,place,"Place in Christianshavn, København",2017-06-30T00:00:00+02:00,2017-06-30T10:02:49+02:00,36169
30/06/17,move,walking,2017-06-30T10:02:49+02:00,2017-06-30T10:09:55+02:00,426
30/06/17,place,"Place in Christianshavn, København",2017-06-30T10:09:56+02:00,2017-06-30T10:16:39+02:00,403
30/06/17,move,walking,2017-06-30T10:16:39+02:00,2017-06-30T10:23:55+02:00,436
30/06/17,place,"Place in Christianshavn, København",2017-06-30T10:23:56+02:00,2017-06-30T18:04:27+02:00,27631
30/06/17,move,cycling,2017-06-30T18:04:27+02:00,2017-06-30T18:29:25+02:00,1498
30/06/17,place,"Place in Nørrebro, København",2017-06-30T18:29:26+02:00,2017-06-30T23:28:53+02:00,17967
30/06/17,move,cycling,2017-06-30T23:28:53+02:00,2017-06-30T23:51:51+02:00,1378
30/06/17,move,walking,2017-06-30T23:51:51+02:00,2017-06-30T23:52:19+02:00,28
01/07/17,place,"Place in Christianshavn, København",2017-07-01T01:32:59+02:00,2017-07-02T00:00:00+02:00,80821
02/07/17,place,"Place in Christianshavn, København",2017-07-02T00:00:00+02:00,2017-07-02T00:20:53+02:00,1253
02/07/17,place,"Place in Christianshavn, København",2017-07-02T00:20:54+02:00,2017-07-02T00:32:15+02:00,681
02/07/17,move,transport,2017-07-02T00:32:15+02:00,2017-07-02T00:39:00+02:00,405
02/07/17,place,"Place in Centrum, København",2017-07-02T00:39:00+02:00,2017-07-02T00:46:00+02:00,420
02/07/17,move,walking,2017-07-02T00:46:00+02:00,2017-07-02T00:51:14+02:00,314
02/07/17,place,"Place in Vesterbro, København",2017-07-02T00:51:15+02:00,2017-07-02T00:54:22+02:00,187
02/07/17,move,walking,2017-07-02T00:54:22+02:00,2017-07-02T01:06:39+02:00,737
02/07/17,place,"Place in Vesterbro, København",2017-07-02T01:06:40+02:00,2017-07-02T02:39:36+02:00,5576
02/07/17,place,"Place in Vesterbro, København",2017-07-02T02:39:37+02:00,2017-07-02T03:40:40+02:00,3663
02/07/17,place,"Place in Vesterbro, København",2017-07-02T03:40:41+02:00,2017-07-02T03:54:18+02:00,817
02/07/17,move,walking,2017-07-02T03:54:18+02:00,2017-07-02T04:05:54+02:00,696
02/07/17,move,cycling,2017-07-02T04:05:54+02:00,2017-07-02T04:10:34+02:00,280
02/07/17,place,"Place in Christianshavn, København",2017-07-02T04:10:35+02:00,2017-07-02T12:45:40+02:00,30905
02/07/17,move,cycling,2017-07-02T12:45:40+02:00,2017-07-02T13:16:12+02:00,1832
02/07/17,place,Place in Copenhagen,2017-07-02T13:16:13+02:00,2017-07-02T13:31:15+02:00,902
02/07/17,move,transport,2017-07-02T13:31:15+02:00,2017-07-02T13:51:50+02:00,1235
02/07/17,move,walking,2017-07-02T13:51:50+02:00,2017-07-02T13:59:17+02:00,447
02/07/17,place,Place in Kongens Lyngby,2017-07-02T13:59:18+02:00,2017-07-02T15:58:23+02:00,7145
02/07/17,place,Place in Kongens Lyngby,2017-07-02T15:58:24+02:00,2017-07-02T16:09:00+02:00,636
02/07/17,move,walking,2017-07-02T16:09:00+02:00,2017-07-02T16:13:13+02:00,253
02/07/17,place,Place in Kongens Lyngby,2017-07-02T16:13:14+02:00,2017-07-02T16:24:37+02:00,683
02/07/17,move,walking,2017-07-02T16:24:37+02:00,2017-07-02T16:31:57+02:00,440
02/07/17,place,Place in Kongens Lyngby,2017-07-02T16:31:58+02:00,2017-07-02T17:10:16+02:00,2298
02/07/17,move,cycling,2017-07-02T17:10:16+02:00,2017-07-02T17:33:39+02:00,1403
02/07/17,place,Place in Copenhagen,2017-07-02T17:33:40+02:00,2017-07-02T17:42:18+02:00,518
02/07/17,move,cycling,2017-07-02T17:42:18+02:00,2017-07-02T18:12:35+02:00,1817
02/07/17,place,"Place in Christianshavn, København",2017-07-02T18:12:36+02:00,2017-07-02T18:43:54+02:00,1878
02/07/17,move,cycling,2017-07-02T18:43:54+02:00,2017-07-02T18:50:32+02:00,398
02/07/17,place,"Place in Islands Brygge, København",2017-07-02T18:50:33+02:00,2017-07-02T22:41:56+02:00,13883
02/07/17,move,cycling,2017-07-02T22:41:56+02:00,2017-07-02T22:49:18+02:00,442
02/07/17,place,"Place in Christianshavn, København",2017-07-02T22:49:19+02:00,2017-07-03T00:00:00+02:00,4241
