Date,Type,Name,Start,End,Duration
31/07/17,place,Place in Kırklareli,2017-07-31T00:00:00+02:00,2017-07-31T08:56:33+02:00,32193
31/07/17,place,Place in Kırklareli,2017-07-31T08:56:34+02:00,2017-07-31T09:05:54+02:00,560
31/07/17,move,cycling,2017-07-31T09:05:54+02:00,2017-07-31T09:57:01+02:00,3067
31/07/17,place,Place in Kırklareli,2017-07-31T09:57:02+02:00,2017-07-31T10:11:17+02:00,855
31/07/17,move,cycling,2017-07-31T10:11:17+02:00,2017-07-31T10:39:54+02:00,1717
31/07/17,place,Place in Kırklareli,2017-07-31T10:39:55+02:00,2017-07-31T10:45:43+02:00,348
31/07/17,move,cycling,2017-07-31T10:45:43+02:00,2017-07-31T11:28:20+02:00,2557
31/07/17,place,Place in Kırklareli,2017-07-31T11:28:21+02:00,2017-07-31T11:41:59+02:00,818
31/07/17,place,Place in Kırklareli,2017-07-31T11:42:00+02:00,2017-07-31T11:51:03+02:00,543
31/07/17,move,cycling,2017-07-31T11:51:03+02:00,2017-07-31T11:56:58+02:00,355
31/07/17,place,Place in Kırklareli,2017-07-31T11:56:59+02:00,2017-07-31T13:01:32+02:00,3873
31/07/17,move,cycling,2017-07-31T13:01:32+02:00,2017-07-31T15:53:51+02:00,10339
31/07/17,place,Place in Vize,2017-07-31T15:53:52+02:00,2017-07-31T17:12:14+02:00,4702
31/07/17,move,cycling,2017-07-31T17:12:14+02:00,2017-07-31T19:38:33+02:00,8779
31/07/17,place,Place in Saray,2017-07-31T19:38:34+02:00,2017-08-01T00:00:00+02:00,15686
01/08/17,place,Place in Saray,2017-08-01T00:00:00+02:00,2017-08-01T07:34:52+02:00,27292
01/08/17,move,cycling,2017-08-01T07:34:52+02:00,2017-08-01T07:42:47+02:00,475
01/08/17,place,Place in Saray,2017-08-01T07:42:48+02:00,2017-08-01T07:55:48+02:00,780
01/08/17,move,cycling,2017-08-01T07:55:48+02:00,2017-08-01T10:40:32+02:00,9884
01/08/17,place,Place in Subası,2017-08-01T10:40:33+02:00,2017-08-01T11:28:03+02:00,2850
01/08/17,move,cycling,2017-08-01T11:28:03+02:00,2017-08-01T13:56:00+02:00,8877
01/08/17,place,"Place in Sanayii, Istanbul",2017-08-01T13:56:01+02:00,2017-08-01T14:14:11+02:00,1090
01/08/17,move,cycling,2017-08-01T14:14:11+02:00,2017-08-01T16:01:06+02:00,6415
01/08/17,place,"Place in Yesilkoy, Istanbul",2017-08-01T16:01:07+02:00,2017-08-01T16:15:50+02:00,883
01/08/17,move,cycling,2017-08-01T16:15:50+02:00,2017-08-01T17:07:23+02:00,3093
01/08/17,place,Place in Istanbul,2017-08-01T17:07:24+02:00,2017-08-01T17:16:14+02:00,530
01/08/17,move,cycling,2017-08-01T17:16:14+02:00,2017-08-01T17:21:41+02:00,327
02/08/17,place,Place in Istanbul,2017-08-02T03:25:39+02:00,2017-08-02T13:35:22+02:00,36583
02/08/17,move,walking,2017-08-02T13:35:22+02:00,2017-08-02T14:07:33+02:00,1931
02/08/17,place,"Place in Mesih Paşa, Istanbul",2017-08-02T14:07:34+02:00,2017-08-02T14:20:07+02:00,753
02/08/17,move,walking,2017-08-02T14:20:07+02:00,2017-08-02T14:37:14+02:00,1027
02/08/17,place,"Place in Kemalpaşa, Istanbul",2017-08-02T14:37:14+02:00,2017-08-02T14:43:11+02:00,357
02/08/17,move,walking,2017-08-02T14:43:11+02:00,2017-08-02T15:32:04+02:00,2933
02/08/17,place,Place in Istanbul,2017-08-02T15:32:05+02:00,2017-08-02T17:38:27+02:00,7582
02/08/17,move,transport,2017-08-02T17:38:27+02:00,2017-08-02T18:33:36+02:00,3309
02/08/17,place,"Place in Yesilkoy, Istanbul",2017-08-02T18:33:37+02:00,2017-08-02T18:50:03+02:00,986
02/08/17,place,"Place in Yesilkoy, Istanbul",2017-08-02T18:50:04+02:00,2017-08-02T19:39:20+02:00,2956
02/08/17,place,"Place in Yesilkoy, Istanbul",2017-08-02T19:39:21+02:00,2017-08-02T19:47:21+02:00,480
02/08/17,move,walking,2017-08-02T19:47:21+02:00,2017-08-02T19:51:59+02:00,278
02/08/17,place,"Place in Yesilkoy, Istanbul",2017-08-02T19:52:00+02:00,2017-08-02T20:45:06+02:00,3186
02/08/17,place,"Place in Yesilkoy, Istanbul",2017-08-02T20:45:07+02:00,2017-08-02T21:03:55+02:00,1128
02/08/17,move,transport,2017-08-02T21:03:55+02:00,2017-08-02T21:06:42+02:00,167
02/08/17,place,"Place in Yesilkoy, Istanbul",2017-08-02T21:06:43+02:00,2017-08-02T21:28:32+02:00,1309
02/08/17,move,transport,2017-08-02T21:28:33+02:00,2017-08-02T23:04:30+02:00,5757
02/08/17,place,Place in Spáta,2017-08-02T23:04:31+02:00,2017-08-02T23:18:41+02:00,850
02/08/17,place,Place in Spáta,2017-08-02T23:18:42+02:00,2017-08-02T23:49:26+02:00,1844
02/08/17,move,transport,2017-08-02T23:49:26+02:00,2017-08-02T23:59:59+02:00,633
03/08/17,move,transport,2017-08-03T00:00:00+02:00,2017-08-03T00:36:48+02:00,2208
03/08/17,place,"Place in Kountouriotika, Athens",2017-08-03T00:36:49+02:00,2017-08-03T01:08:00+02:00,1871
03/08/17,move,transport,2017-08-03T01:08:00+02:00,2017-08-03T01:15:22+02:00,442
03/08/17,place,"Place in Polygono, Athens",2017-08-03T01:15:23+02:00,2017-08-03T01:30:23+02:00,900
03/08/17,move,walking,2017-08-03T01:30:23+02:00,2017-08-03T01:32:14+02:00,111
03/08/17,move,transport,2017-08-03T01:32:14+02:00,2017-08-03T02:02:50+02:00,1836
03/08/17,move,walking,2017-08-03T02:02:50+02:00,2017-08-03T02:08:43+02:00,353
