Date,Type,Name,Start,End,Duration
01/07/17,place,"Place in Christianshavn, København",2017-07-01T01:32:59+02:00,2017-07-02T00:00:00+02:00,80821
02/07/17,place,"Place in Christianshavn, København",2017-07-02T00:00:00+02:00,2017-07-02T00:20:53+02:00,1253
02/07/17,place,"Place in Christianshavn, København",2017-07-02T00:20:54+02:00,2017-07-02T00:32:15+02:00,681
02/07/17,move,transport,2017-07-02T00:32:15+02:00,2017-07-02T00:39:00+02:00,405
02/07/17,place,"Place in Centrum, København",2017-07-02T00:39:00+02:00,2017-07-02T00:46:00+02:00,420
02/07/17,move,walking,2017-07-02T00:46:00+02:00,2017-07-02T00:51:14+02:00,314
02/07/17,place,"Place in Vesterbro, København",2017-07-02T00:51:15+02:00,2017-07-02T00:54:22+02:00,187
02/07/17,move,walking,2017-07-02T00:54:22+02:00,2017-07-02T01:06:39+02:00,737
02/07/17,place,"Place in Vesterbro, København",2017-07-02T01:06:40+02:00,2017-07-02T02:39:36+02:00,5576
02/07/17,place,"Place in Vesterbro, København",2017-07-02T02:39:37+02:00,2017-07-02T03:40:40+02:00,3663
02/07/17,place,"Place in Vesterbro, København",2017-07-02T03:40:41+02:00,2017-07-02T03:54:18+02:00,817
02/07/17,move,walking,2017-07-02T03:54:18+02:00,2017-07-02T04:05:54+02:00,696
02/07/17,move,cycling,2017-07-02T04:05:54+02:00,2017-07-02T04:10:34+02:00,280
02/07/17,place,"Place in Christianshavn, København",2017-07-02T04:10:35+02:00,2017-07-02T12:45:40+02:00,30905
02/07/17,move,cycling,2017-07-02T12:45:40+02:00,2017-07-02T13:16:12+02:00,1832
02/07/17,place,Place in Copenhagen,2017-07-02T13:16:13+02:00,2017-07-02T13:31:15+02:00,902
02/07/17,move,transport,2017-07-02T13:31:15+02:00,2017-07-02T13:51:50+02:00,1235
02/07/17,move,walking,2017-07-02T13:51:50+02:00,2017-07-02T13:59:17+02:00,447
02/07/17,place,Place in Kongens Lyngby,2017-07-02T13:59:18+02:00,2017-07-02T15:58:23+02:00,7145
02/07/17,place,Place in Kongens Lyngby,2017-07-02T15:58:24+02:00,2017-07-02T16:09:00+02:00,636
