Date,Type,Name,Start,End,Duration
21/03/17,place,DTU Bibliotek,2017-03-21T14:02:45+01:00,2017-03-21T17:16:43+01:00,11638
21/03/17,move,cycling,2017-03-21T17:16:43+01:00,2017-03-21T17:23:41+01:00,418
21/03/17,place,Lyngby Svømmehal,2017-03-21T17:23:42+01:00,2017-03-21T18:42:07+01:00,4705
21/03/17,move,cycling,2017-03-21T18:42:07+01:00,2017-03-21T18:49:24+01:00,437
21/03/17,place,Place in Kongens Lyngby,2017-03-21T18:49:24+01:00,2017-03-21T19:21:05+01:00,1901
21/03/17,place,Place in Kongens Lyngby,2017-03-21T19:21:05+01:00,2017-03-21T19:31:17+01:00,612
21/03/17,move,transport,2017-03-21T19:31:17+01:00,2017-03-21T20:00:17+01:00,1740
21/03/17,move,cycling,2017-03-21T20:00:17+01:00,2017-03-21T20:07:05+01:00,408
21/03/17,place,Home,2017-03-21T20:07:06+01:00,2017-03-22T00:00:00+01:00,13974
22/03/17,place,Home,2017-03-22T00:00:00+01:00,2017-03-22T08:42:31+01:00,31351
22/03/17,move,transport,2017-03-22T08:42:31+01:00,2017-03-22T09:21:23+01:00,2332
22/03/17,move,walking,2017-03-22T09:21:23+01:00,2017-03-22T09:29:51+01:00,508
22/03/17,place,Dtu 324,2017-03-22T09:29:52+01:00,2017-03-22T21:07:48+01:00,41876
22/03/17,move,walking,2017-03-22T21:07:48+01:00,2017-03-22T21:20:31+01:00,763
22/03/17,place,Place in Kongens Lyngby,2017-03-22T21:20:32+01:00,2017-03-22T21:30:49+01:00,617
22/03/17,move,transport,2017-03-22T21:30:49+01:00,2017-03-22T22:08:27+01:00,2258
22/03/17,place,"Place in Christianshavn, København",2017-03-22T22:08:28+01:00,2017-03-23T00:00:00+01:00,6692
23/03/17,place,"Place in Christianshavn, København",2017-03-23T00:00:00+01:00,2017-03-23T08:12:15+01:00,29535
23/03/17,move,cycling,2017-03-23T08:12:15+01:00,2017-03-23T08:20:08+01:00,473
23/03/17,place,"Place in Østerport, København",2017-03-23T08:20:08+01:00,2017-03-23T12:21:17+01:00,14469
23/03/17,move,walking,2017-03-23T12:21:17+01:00,2017-03-23T12:29:18+01:00,481
23/03/17,place,"Maersk HQ @ Esplanaden - Copenhagen, Denmark",2017-03-23T12:29:19+01:00,2017-03-23T12:57:48+01:00,1709
23/03/17,move,walking,2017-03-23T12:57:48+01:00,2017-03-23T13:06:51+01:00,543
23/03/17,place,"Place in Østerport, København",2017-03-23T13:06:52+01:00,2017-03-23T16:53:35+01:00,13603
23/03/17,move,cycling,2017-03-23T16:53:35+01:00,2017-03-23T16:59:38+01:00,363
23/03/17,place,"Place in Indre By, København",2017-03-23T16:59:39+01:00,2017-03-23T18:09:32+01:00,4193
23/03/17,move,cycling,2017-03-23T18:09:32+01:00,2017-03-23T18:33:53+01:00,1461
23/03/17,place,KUA - Københavns Universitet Amager,2017-03-23T18:33:54+01:00,2017-03-23T21:04:56+01:00,9062
23/03/17,move,cycling,2017-03-23T21:04:56+01:00,2017-03-23T21:12:06+01:00,430
23/03/17,place,"Place in Christianshavn, København",2017-03-23T21:12:06+01:00,2017-03-24T00:00:00+01:00,10074
24/03/17,place,"Place in Christianshavn, København",2017-03-24T00:00:00+01:00,2017-03-24T08:20:38+01:00,30038
24/03/17,move,cycling,2017-03-24T08:20:38+01:00,2017-03-24T08:28:58+01:00,500
24/03/17,place,"Place in Østerport, København",2017-03-24T08:28:59+01:00,2017-03-24T12:18:40+01:00,13781
24/03/17,move,cycling,2017-03-24T12:18:40+01:00,2017-03-24T12:21:39+01:00,179
24/03/17,move,walking,2017-03-24T12:21:39+01:00,2017-03-24T12:25:37+01:00,238
24/03/17,place,"Place in Østerport, København",2017-03-24T12:25:38+01:00,2017-03-24T12:52:40+01:00,1622
24/03/17,move,cycling,2017-03-24T12:52:40+01:00,2017-03-24T12:58:21+01:00,341
24/03/17,move,transport,2017-03-24T12:58:21+01:00,2017-03-24T13:35:12+01:00,2211
24/03/17,move,walking,2017-03-24T13:35:12+01:00,2017-03-24T13:41:26+01:00,374
24/03/17,move,transport,2017-03-24T13:41:27+01:00,2017-03-24T13:50:07+01:00,520
24/03/17,place,Place in Kongens Lyngby,2017-03-24T13:50:08+01:00,2017-03-24T19:55:10+01:00,21902
24/03/17,move,walking,2017-03-24T19:55:10+01:00,2017-03-24T19:59:45+01:00,275
24/03/17,place,Place in Kongens Lyngby,2017-03-24T19:59:46+01:00,2017-03-24T21:37:38+01:00,5872
24/03/17,place,Place in Kongens Lyngby,2017-03-24T21:37:39+01:00,2017-03-24T21:41:14+01:00,215
24/03/17,move,walking,2017-03-24T21:41:14+01:00,2017-03-24T21:44:44+01:00,210
24/03/17,place,Place in Kongens Lyngby,2017-03-24T21:44:45+01:00,2017-03-25T00:00:00+01:00,8115
25/03/17,place,Place in Kongens Lyngby,2017-03-25T00:00:00+01:00,2017-03-25T00:04:45+01:00,285
25/03/17,move,transport,2017-03-25T00:04:45+01:00,2017-03-25T00:46:07+01:00,2482
25/03/17,place,"Place in Christianshavn, København",2017-03-25T00:46:08+01:00,2017-03-25T11:28:53+01:00,38565
25/03/17,move,cycling,2017-03-25T11:28:53+01:00,2017-03-25T11:36:41+01:00,468
25/03/17,move,transport,2017-03-25T11:36:42+01:00,2017-03-25T12:13:13+01:00,2191
