Date,Type,Name,Start,End,Duration
21/05/17,place,"Place in Nørrebro, København",2017-05-21T00:00:00+02:00,2017-05-21T00:02:15+02:00,135
21/05/17,move,walking,2017-05-21T00:02:15+02:00,2017-05-21T00:05:13+02:00,178
21/05/17,move,transport,2017-05-21T00:05:13+02:00,2017-05-21T00:26:35+02:00,1282
21/05/17,move,walking,2017-05-21T00:26:35+02:00,2017-05-21T00:28:02+02:00,87
21/05/17,place,"Place in Christianshavn, København",2017-05-21T00:28:03+02:00,2017-05-21T12:08:05+02:00,42002
21/05/17,move,cycling,2017-05-21T12:08:05+02:00,2017-05-21T12:52:09+02:00,2644
21/05/17,place,Place in Kongens Lyngby,2017-05-21T12:52:10+02:00,2017-05-21T13:57:58+02:00,3948
21/05/17,move,transport,2017-05-21T13:57:58+02:00,2017-05-21T14:10:02+02:00,724
21/05/17,place,Place in Kongens Lyngby,2017-05-21T14:10:03+02:00,2017-05-21T14:22:44+02:00,761
21/05/17,move,cycling,2017-05-21T14:22:44+02:00,2017-05-21T14:27:45+02:00,301
21/05/17,place,Place in Kongens Lyngby,2017-05-21T14:27:46+02:00,2017-05-21T14:52:15+02:00,1469
21/05/17,move,walking,2017-05-21T14:52:15+02:00,2017-05-21T14:56:44+02:00,269
21/05/17,place,Place in Kongens Lyngby,2017-05-21T14:56:45+02:00,2017-05-21T22:09:27+02:00,25962
21/05/17,move,cycling,2017-05-21T22:09:27+02:00,2017-05-21T23:05:37+02:00,3370
21/05/17,place,"Place in Christianshavn, København",2017-05-21T23:05:38+02:00,2017-05-22T00:00:00+02:00,3262
