Date,Type,Name,Start,End,Duration
02/08/17,place,Place in Istanbul,2017-08-02T03:25:39+02:00,2017-08-02T13:35:22+02:00,36583
02/08/17,move,walking,2017-08-02T13:35:22+02:00,2017-08-02T14:07:33+02:00,1931
02/08/17,place,"Place in Mesih Paşa, Istanbul",2017-08-02T14:07:34+02:00,2017-08-02T14:20:07+02:00,753
02/08/17,move,walking,2017-08-02T14:20:07+02:00,2017-08-02T14:37:14+02:00,1027
02/08/17,place,"Place in Kemalpaşa, Istanbul",2017-08-02T14:37:14+02:00,2017-08-02T14:43:11+02:00,357
02/08/17,move,walking,2017-08-02T14:43:11+02:00,2017-08-02T15:32:04+02:00,2933
02/08/17,place,Place in Istanbul,2017-08-02T15:32:05+02:00,2017-08-02T17:38:27+02:00,7582
02/08/17,move,transport,2017-08-02T17:38:27+02:00,2017-08-02T18:33:36+02:00,3309
02/08/17,place,"Place in Yesilkoy, Istanbul",2017-08-02T18:33:37+02:00,2017-08-02T18:50:03+02:00,986
02/08/17,place,"Place in Yesilkoy, Istanbul",2017-08-02T18:50:04+02:00,2017-08-02T19:39:20+02:00,2956
02/08/17,place,"Place in Yesilkoy, Istanbul",2017-08-02T19:39:21+02:00,2017-08-02T19:47:21+02:00,480
02/08/17,move,walking,2017-08-02T19:47:21+02:00,2017-08-02T19:51:59+02:00,278
02/08/17,place,"Place in Yesilkoy, Istanbul",2017-08-02T19:52:00+02:00,2017-08-02T20:45:06+02:00,3186
02/08/17,place,"Place in Yesilkoy, Istanbul",2017-08-02T20:45:07+02:00,2017-08-02T21:03:55+02:00,1128
02/08/17,move,transport,2017-08-02T21:03:55+02:00,2017-08-02T21:06:42+02:00,167
02/08/17,place,"Place in Yesilkoy, Istanbul",2017-08-02T21:06:43+02:00,2017-08-02T21:28:32+02:00,1309
02/08/17,move,transport,2017-08-02T21:28:33+02:00,2017-08-02T23:04:30+02:00,5757
02/08/17,place,Place in Spáta,2017-08-02T23:04:31+02:00,2017-08-02T23:18:41+02:00,850
02/08/17,place,Place in Spáta,2017-08-02T23:18:42+02:00,2017-08-02T23:49:26+02:00,1844
02/08/17,move,transport,2017-08-02T23:49:26+02:00,2017-08-02T23:59:59+02:00,633
