Date,Type,Name,Start,End,Duration
01/06/17,place,"Place in Christianshavn, København",2017-06-01T00:00:00+02:00,2017-06-01T09:24:38+02:00,33878
01/06/17,place,"Place in Christianshavn, København",2017-06-01T09:24:39+02:00,2017-06-01T09:36:09+02:00,690
01/06/17,place,"Place in Christianshavn, København",2017-06-01T09:36:10+02:00,2017-06-01T14:38:39+02:00,18149
01/06/17,place,"Place in Christianshavn, København",2017-06-01T14:38:39+02:00,2017-06-01T14:40:45+02:00,126
01/06/17,move,walking,2017-06-01T14:40:45+02:00,2017-06-01T14:44:43+02:00,238
01/06/17,place,"Place in Christianshavn, København",2017-06-01T14:44:43+02:00,2017-06-01T14:53:09+02:00,506
01/06/17,move,transport,2017-06-01T14:53:09+02:00,2017-06-01T15:14:40+02:00,1291
01/06/17,place,Place in Kastrup,2017-06-01T15:14:40+02:00,2017-06-01T15:32:31+02:00,1071
01/06/17,move,walking,2017-06-01T15:32:31+02:00,2017-06-01T15:41:36+02:00,545
01/06/17,place,Place in Kastrup,2017-06-01T15:41:36+02:00,2017-06-01T16:00:28+02:00,1132
01/06/17,place,Place in Kastrup,2017-06-01T16:00:28+02:00,2017-06-01T16:12:02+02:00,694
01/06/17,move,walking,2017-06-01T16:16:41+02:00,2017-06-01T16:19:35+02:00,174
01/06/17,place,Place in Kastrup,2017-06-01T16:19:36+02:00,2017-06-01T16:24:30+02:00,294
01/06/17,move,transport,2017-06-01T16:24:30+02:00,2017-06-01T16:52:37+02:00,1687
01/06/17,move,walking,2017-06-01T16:52:37+02:00,2017-06-01T16:54:35+02:00,118
01/06/17,place,"Place in Christianshavn, København",2017-06-01T16:54:36+02:00,2017-06-01T17:16:44+02:00,1328
01/06/17,move,walking,2017-06-01T17:16:44+02:00,2017-06-01T17:31:48+02:00,904
01/06/17,place,"Place in Indre By, København",2017-06-01T17:31:49+02:00,2017-06-01T17:56:55+02:00,1506
01/06/17,move,walking,2017-06-01T17:56:55+02:00,2017-06-01T18:11:39+02:00,884
01/06/17,place,"Place in Christianshavn, København",2017-06-01T18:11:40+02:00,2017-06-01T19:46:30+02:00,5690
01/06/17,move,walking,2017-06-01T19:46:30+02:00,2017-06-01T20:13:21+02:00,1611
01/06/17,place,"Place in Christianshavn, København",2017-06-01T20:13:22+02:00,2017-06-01T20:18:26+02:00,304
01/06/17,move,walking,2017-06-01T20:18:26+02:00,2017-06-01T20:27:41+02:00,555
01/06/17,place,"Place in Christianshavn, København",2017-06-01T20:27:42+02:00,2017-06-01T21:17:53+02:00,3011
01/06/17,move,walking,2017-06-01T21:17:53+02:00,2017-06-01T21:53:17+02:00,2124
01/06/17,place,"Place in Centrum, København",2017-06-01T21:53:18+02:00,2017-06-01T22:51:41+02:00,3503
01/06/17,move,walking,2017-06-01T22:51:41+02:00,2017-06-01T23:43:05+02:00,3084
01/06/17,place,"Place in Christianshavn, København",2017-06-01T23:43:06+02:00,2017-06-01T23:44:47+02:00,101
01/06/17,place,"Place in Christianshavn, København",2017-06-01T23:44:48+02:00,2017-06-02T00:00:00+02:00,912
