Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
24/07/17,Place in Draguseni,2017-07-24T00:00:00+02:00,2017-07-24T09:34:09+02:00,34449,46.88433,26.969859,,
24/07/17,Place in Dragomiresti,2017-07-24T13:29:30+02:00,2017-07-24T16:24:32+02:00,10502,46.589031,27.375468,,
24/07/17,Place in Iana,2017-07-24T17:38:02+02:00,2017-07-24T17:51:00+02:00,778,46.370276,27.546597,,
24/07/17,Place in Bârlad,2017-07-24T19:22:22+02:00,2017-07-25T00:00:00+02:00,16658,46.202803,27.659318,,
25/07/17,Place in Bârlad,2017-07-25T00:00:00+02:00,2017-07-25T05:46:07+02:00,20767,46.202803,27.659318,,
25/07/17,Place in Bârlad,2017-07-25T05:48:45+02:00,2017-07-25T08:26:29+02:00,9464,46.204106,27.658529,,
25/07/17,Place in Odaia Bursucani,2017-07-25T08:41:04+02:00,2017-07-25T09:23:09+02:00,2525,46.186964,27.662865,,
25/07/17,Place in Balabanesti,2017-07-25T10:12:30+02:00,2017-07-25T10:30:09+02:00,1059,46.089441,27.71801,,
25/07/17,Place in Vârlezi,2017-07-25T12:37:29+02:00,2017-07-25T13:17:53+02:00,2424,45.848778,27.863941,,
25/07/17,Place in Cuca,2017-07-25T14:13:01+02:00,2017-07-25T14:36:00+02:00,1379,45.72937,27.898586,,
25/07/17,Place in Tulucesti,2017-07-25T15:41:45+02:00,2017-07-25T15:52:35+02:00,650,45.621622,28.016586,,
25/07/17,Place in Galati,2017-07-25T16:42:02+02:00,2017-07-25T17:14:30+02:00,1948,45.496435,28.032594,,
25/07/17,Place in Galati,2017-07-25T17:35:22+02:00,2017-07-25T17:38:35+02:00,193,45.455288,28.033825,,
25/07/17,Place in Galati,2017-07-25T17:55:11+02:00,2017-07-25T18:06:18+02:00,667,45.430133,28.036682,,
25/07/17,Place in Galati,2017-07-25T18:09:18+02:00,2017-07-25T20:07:28+02:00,7090,45.42765,28.037619,,
25/07/17,Place in Galati,2017-07-25T20:41:46+02:00,2017-07-25T21:45:10+02:00,3804,45.37753,28.023116,,
25/07/17,Place in Galati,2017-07-25T21:45:11+02:00,2017-07-26T00:00:00+02:00,8089,45.378354,28.023441,,
26/07/17,Place in Galati,2017-07-26T00:00:00+02:00,2017-07-26T09:59:19+02:00,35959,45.378354,28.023441,,
26/07/17,Place in Braila,2017-07-26T11:00:50+02:00,2017-07-26T11:12:10+02:00,680,45.272041,27.958042,,
26/07/17,Place in Braila,2017-07-26T11:12:10+02:00,2017-07-26T11:39:16+02:00,1626,45.271087,27.956462,,
26/07/17,Place in Unirea,2017-07-26T13:01:33+02:00,2017-07-26T13:17:39+02:00,966,45.07473,27.80187,,
